# class	case_id	reads_fixture	expected_candidates
homopolymer	hpoly_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
clip-heavy	clip_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
long-indel	long_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
noisy	noise_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
