QNAME	flags	qualifiedLen_Java	qualifiedLen_Rust	threshold_Java	threshold_Rust	max_ll_J_float	max_ll_J_double	max_ll_R_f64	winner_Java	winner_Rust	decision_Java	decision_Rust	extra_retain
HISEQ1:11:H8GV6ADXX:2:2105:12137:22761	163	72	72	-8.0	-8.0	-5.6836719512939453e0	-5.6836730069119881e0	-5.6836730149651657e0	89c6d3791de60a14	89c6d3791de60a14	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:2109:18699:33173	147	148	148	-8.0	-8.0	-2.6472625732421875e0	-2.6472629263255953e0	-2.6472629457501284e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:2110:12406:67773	163	126	126	-8.0	-8.0	-9.0670394897460938e0	-9.0670400405873579e0	-9.0670400560570101e0	89c6d3791de60a14	89c6d3791de60a14	DROP	DROP	false
HISEQ1:11:H8GV6ADXX:2:2111:3453:47357	83	51	51	-8.0	-8.0	-2.5969429016113281e0	-2.5969437442311119e0	-2.5969437510219109e0	1906c7405fb62081	1906c7405fb62081	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:2114:10070:84078	163	148	148	-8.0	-8.0	-1.6454797744750977e1	-1.6454797844634072e1	-1.6454797864932516e1	ecd9cfeb09b64cc9	ecd9cfeb09b64cc9	DROP	DROP	false
HISEQ1:11:H8GV6ADXX:2:2209:12379:22070	83	49	49	-4.0	-4.0	-2.7380561828613281e0	-2.7380562798002188e0	-2.7380562863466480e0	a849791c2b4203ee	5c15d6193ce64f9f	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:2209:12379:22070	163	39	39	-4.0	-4.0	-2.7319450378417969e0	-2.7319465311229010e0	-2.7319465357290369e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:2214:18957:23712	83	135	135	-8.0	-8.0	-1.1686717987060547e1	-1.1686717939244033e1	-1.1686717957219400e1	c59cd4408a696108	c59cd4408a696108	DROP	DROP	false
HISEQ1:11:H8GV6ADXX:2:2216:2203:76921	147	52	52	-8.0	-8.0	-4.5813198089599609e0	-4.5813206749959932e0	-4.5813206804725723e0	c271d95dba362ffb	89c6d3791de60a14	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1104:20666:97464	83	148	148	-8.0	-8.0	-2.6455612182617188e0	-2.6455629035371544e0	-2.6455629230779323e0	c271d95dba362ffb	1906c7405fb62081	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1106:3080:10032	147	100	100	-8.0	-8.0	-3.7932319641113281e0	-3.7932316574997458e0	-3.7932316683643421e0	e21e56f2bb86a60b	e21e56f2bb86a60b	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1110:16456:8464	147	15	15	-4.0	-4.0	-2.5670242309570312e0	-2.5670221063403460e0	-2.5670221084292280e0	c271d95dba362ffb	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1116:10149:13745	163	116	116	-8.0	-8.0	-9.4184303283691406e0	-9.4184312987208614e0	-9.4184313128473036e0	91f3de0e1511601f	91f3de0e1511601f	DROP	DROP	false
HISEQ1:12:H8GVUADXX:1:1201:10428:98142	83	93	93	-8.0	-8.0	-5.9243087768554688e0	-5.9243095405705049e0	-5.9243095531882091e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1209:20409:71397	147	148	148	-8.0	-8.0	-2.6483192443847656e0	-2.6483211843185472e0	-2.6483212031199059e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1209:3745:66274	147	148	148	-8.0	-8.0	-2.6495399475097656e0	-2.6495411683462748e0	-2.6495411863801337e0	c271d95dba362ffb	c43aac903446de45	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1212:6079:70954	147	148	148	-8.0	-8.0	-2.6438674926757812e0	-2.6438658639019081e0	-2.6438658829469546e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:1212:9362:100916	147	145	145	-8.0	-8.0	-1.3555273056030273e1	-1.3555272635643519e1	-1.3555272654061980e1	c59cd4408a696108	c59cd4408a696108	DROP	DROP	false
HISEQ1:12:H8GVUADXX:1:1214:14659:95634	147	143	143	-8.0	-8.0	-1.2580610275268555e1	-1.2580610696602605e1	-1.2580610714876343e1	c59cd4408a696108	c59cd4408a696108	DROP	DROP	false
HISEQ1:12:H8GVUADXX:1:2102:3262:64140	99	91	91	-8.0	-8.0	-2.6005210876464844e0	-2.6005208382461547e0	-2.6005208500298522e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:2107:7400:33945	163	148	148	-8.0	-8.0	-1.7911548614501953e1	-1.7911547941724507e1	-1.7911547961433939e1	24c70f85fc3bc595	24c70f85fc3bc595	DROP	DROP	false
HISEQ1:12:H8GVUADXX:1:2113:19174:50109	147	38	38	-4.0	-4.0	-2.5904197692871094e0	-2.5904184149428602e0	-2.5904184201356202e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:2114:19696:40833	147	23	23	-4.0	-4.0	-2.5752868652343750e0	-2.5752860916097688e0	-2.5752860947203544e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:2115:4673:74518	163	78	78	-8.0	-8.0	-2.5913467407226562e0	-2.5913453694982991e0	-2.5913453791010852e0	009b3e4fc3c00bfa	009b3e4fc3c00bfa	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:2202:3463:2165	163	148	148	-8.0	-8.0	-2.6486816406250000e0	-2.6486821439185064e0	-2.6486821623665264e0	1dd66445a07ff86c	1dd66445a07ff86c	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:1:2215:18324:5571	147	113	113	-8.0	-8.0	-5.9393711090087891e0	-5.9393705330784883e0	-5.9393705478872789e0	009b3e4fc3c00bfa	009b3e4fc3c00bfa	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:1205:15180:54816	83	134	134	-8.0	-8.0	-2.6389923095703125e0	-2.6389941544296107e0	-2.6389941705187425e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:1207:17498:50295	83	40	40	-4.0	-4.0	-2.7174072265625000e0	-2.7174060438718470e0	-2.7174060491487921e0	1906c7405fb62081	1906c7405fb62081	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:1216:17904:51162	163	99	99	-8.0	-8.0	-2.6252593994140625e0	-2.6252618081160790e0	-2.6252618193876174e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:2101:5886:62257	147	117	117	-8.0	-8.0	-9.8747615814208984e0	-9.8747618978186438e0	-9.8747619111692302e0	89c6d3791de60a14	89c6d3791de60a14	DROP	DROP	false
HISEQ1:12:H8GVUADXX:2:2112:17794:55566	83	148	148	-8.0	-8.0	-2.6441841125488281e0	-2.6441838102570046e0	-2.6441838295316415e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:2202:3733:18827	83	148	148	-8.0	-8.0	-2.6453742980957031e0	-2.6453743367279685e0	-2.6453743559084728e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:2205:2627:20388	147	117	117	-8.0	-8.0	-1.8357955932617188e1	-1.8357955084545210e1	-1.8357955099935054e1	a849791c2b4203ee	a849791c2b4203ee	DROP	DROP	false
HISEQ1:12:H8GVUADXX:2:2207:17709:53906	99	148	148	-8.0	-8.0	-2.6496429443359375e0	-2.6496437460750712e0	-2.6496437667966575e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:12:H8GVUADXX:2:2207:4812:31918	83	148	148	-8.0	-8.0	-9.8074436187744141e0	-9.8074449965264421e0	-9.8074450145256833e0	ecd9cfeb09b64cc9	ecd9cfeb09b64cc9	DROP	DROP	false
HISEQ1:12:H8GVUADXX:2:2208:12293:39899	83	148	148	-8.0	-8.0	-1.2773694992065430e1	-1.2773694758869510e1	-1.2773694776889101e1	24c70f85fc3bc595	24c70f85fc3bc595	DROP	DROP	false
HISEQ1:12:H8GVUADXX:2:2211:16207:84322	83	148	148	-8.0	-8.0	-2.6451873779296875e0	-2.6451852122571609e0	-2.6451852319352156e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1103:8983:35134	83	101	101	-8.0	-8.0	-2.7364158630371094e0	-2.7364175722410664e0	-2.7364175833407671e0	c271d95dba362ffb	ed8a8a8547a91805	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1107:14366:37150	83	144	144	-8.0	-8.0	-1.3366281509399414e1	-1.3366282117180845e1	-1.3366282134369385e1	2e61b003aa3de104	2e61b003aa3de104	DROP	DROP	false
HISEQ1:13:H8G92ADXX:1:1116:9084:87141	99	148	148	-8.0	-8.0	-2.9089317321777344e0	-2.9089326324065610e0	-2.9089326515604625e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1116:9084:87141	147	148	148	-8.0	-8.0	-2.9097671508789062e0	-2.9097676526685632e0	-2.9097676716305045e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1201:11859:45984	147	85	85	-8.0	-8.0	-6.1713218688964844e0	-6.1713217429893916e0	-6.1713217519435943e0	89c6d3791de60a14	89c6d3791de60a14	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1205:16330:83279	163	18	18	-4.0	-4.0	-2.5700378417968750e0	-2.5700385522156921e0	-2.5700385544369624e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:1214:8757:76066	83	81	81	-8.0	-8.0	-2.5945777893066406e0	-2.5945791022908793e0	-2.5945791111823269e0	91f3de0e1511601f	91f3de0e1511601f	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2103:3021:81022	163	13	13	-4.0	-4.0	-2.5650711059570312e0	-2.5650698721784124e0	-2.5650698735763058e0	c271d95dba362ffb	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2104:7232:90011	147	148	148	-8.0	-8.0	-1.3010034561157227e1	-1.3010035080788839e1	-1.3010035098257333e1	24c70f85fc3bc595	24c70f85fc3bc595	DROP	DROP	false
HISEQ1:13:H8G92ADXX:1:2105:8544:6051	99	148	148	-8.0	-8.0	-2.6425590515136719e0	-2.6425575637747443e0	-2.6425575841246314e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2211:12679:32928	147	71	71	-8.0	-8.0	-5.8899478912353516e0	-5.8899471138765875e0	-5.8899471234689713e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2212:13761:21917	99	112	112	-8.0	-8.0	-2.6263542175292969e0	-2.6263554332290937e0	-2.6263554467774384e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2215:3048:31329	163	86	86	-8.0	-8.0	-2.6148986816406250e0	-2.6148976297423019e0	-2.6148976405601161e0	009b3e4fc3c00bfa	009b3e4fc3c00bfa	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:1:2215:3173:45084	83	129	129	-8.0	-8.0	-1.6344617843627930e1	-1.6344618364300231e1	-1.6344618381501277e1	009b3e4fc3c00bfa	009b3e4fc3c00bfa	DROP	DROP	false
HISEQ1:13:H8G92ADXX:2:1109:19344:92965	83	128	128	-8.0	-8.0	-9.4817619323730469e0	-9.4817606223636517e0	-9.4817606374958814e0	2e61b003aa3de104	2e61b003aa3de104	DROP	DROP	false
HISEQ1:13:H8G92ADXX:2:1110:2028:2639	99	148	148	-8.0	-8.0	-3.3048629760742188e0	-3.3048619620784052e0	-3.3048619811172557e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1112:17233:72743	83	141	141	-8.0	-8.0	-6.4143257141113281e0	-6.4143254700491070e0	-6.4143254867121868e0	9cf49bb5853dd154	9cf49bb5853dd154	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1112:5418:11026	83	148	148	-8.0	-8.0	-2.6432456970214844e0	-2.6432476031196188e0	-2.6432476208622688e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1112:5418:11026	163	115	115	-8.0	-8.0	-2.6294479370117188e0	-2.6294470537155803e0	-2.6294470686365230e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1112:9366:63936	83	148	148	-8.0	-8.0	-2.6447219848632812e0	-2.6447231331853800e0	-2.6447231521362369e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1205:1862:61782	99	88	88	-8.0	-8.0	-2.6137008666992188e0	-2.6137012781275644e0	-2.6137012881844726e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1207:5295:91465	83	41	41	-4.0	-4.0	-2.5875244140625000e0	-2.5875258519466229e0	-2.5875258575379689e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1209:2537:66911	163	109	109	-8.0	-8.0	-2.6212158203125000e0	-2.6212173825792320e0	-2.6212173963602368e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1210:1858:43133	163	112	112	-8.0	-8.0	-2.6235580444335938e0	-2.6235583299853147e0	-2.6235583445446764e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1213:16884:94948	163	148	148	-8.0	-8.0	-2.7848396301269531e0	-2.7848391655696787e0	-2.7848391857120873e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:1215:12634:27990	147	60	60	-8.0	-8.0	-9.0226688385009766e0	-9.0226688066263705e0	-9.0226688141837599e0	1906c7405fb62081	1906c7405fb62081	DROP	DROP	false
HISEQ1:13:H8G92ADXX:2:2102:1356:32269	99	20	20	-4.0	-4.0	-2.5646934509277344e0	-2.5646936196976640e0	-2.5646936219523582e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:2106:15182:80281	83	88	88	-8.0	-8.0	-2.6287651062011719e0	-2.6287655055055552e0	-2.6287655175630675e0	5c15d6193ce64f9f	5c15d6193ce64f9f	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:2107:3718:50629	147	148	148	-8.0	-8.0	-2.7667808532714844e0	-2.7667809013792635e0	-2.7667809206808442e0	c271d95dba362ffb	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:2108:17967:93480	83	148	148	-8.0	-8.0	-3.0482826232910156e0	-3.0482838584995307e0	-3.0482838780002339e0	c271d95dba362ffb	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:2113:4233:45005	147	124	124	-8.0	-8.0	-1.5075290679931641e1	-1.5075290088298345e1	-1.5075290104439887e1	c271d95dba362ffb	c271d95dba362ffb	DROP	DROP	false
HISEQ1:13:H8G92ADXX:2:2210:16889:51588	83	148	148	-8.0	-8.0	-2.6434364318847656e0	-2.6434383932854644e0	-2.6434384110275460e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:13:H8G92ADXX:2:2212:13822:50150	147	148	148	-8.0	-8.0	-2.6427536010742188e0	-2.6427537667656793e0	-2.6427537862297186e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1105:6235:77999	83	106	106	-8.0	-8.0	-2.6534423828125000e0	-2.6534421500336407e0	-2.6534421643737005e0	c59cd4408a696108	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1106:10350:18258	147	69	69	-8.0	-8.0	-2.6131210327148438e0	-2.6131212493027647e0	-2.6131212584610921e0	5c15d6193ce64f9f	5c15d6193ce64f9f	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1107:10772:94306	83	33	33	-4.0	-4.0	-2.5813903808593750e0	-2.5813894572968366e0	-2.5813894616538278e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1109:11943:58970	147	39	39	-4.0	-4.0	-2.5890769958496094e0	-2.5890784466511718e0	-2.5890784518056194e0	1906c7405fb62081	1906c7405fb62081	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1110:12402:16069	83	70	70	-8.0	-8.0	-2.6130638122558594e0	-2.6130626166515754e0	-2.6130626261480074e0	5c15d6193ce64f9f	5c15d6193ce64f9f	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1112:19265:60083	99	106	106	-8.0	-8.0	-2.6215972900390625e0	-2.6215969991517341e0	-2.6215970116029439e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1116:1737:10125	147	23	23	-4.0	-4.0	-2.5734558105468750e0	-2.5734560760450904e0	-2.5734560790745604e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:1213:5437:90850	147	26	26	-4.0	-4.0	-2.5662422180175781e0	-2.5662403309381148e0	-2.5662403335572890e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2106:14891:52895	147	148	148	-8.0	-8.0	-2.6471939086914062e0	-2.6471923930027970e0	-2.6471924123809458e0	c271d95dba362ffb	d559ca57cac1cff2	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2109:11968:22409	99	52	52	-8.0	-8.0	-2.5956802368164062e0	-2.5956806538119963e0	-2.5956806599093056e0	c271d95dba362ffb	89c6d3791de60a14	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2111:7580:31985	83	148	148	-8.0	-8.0	-2.6501617431640625e0	-2.6501629431520541e0	-2.6501629624711427e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2202:18336:27346	99	31	31	-4.0	-4.0	-2.5692138671875000e0	-2.5692123368947932e0	-2.5692123405871143e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2202:18336:27346	147	109	109	-8.0	-8.0	-2.6131744384765625e0	-2.6131736508736481e0	-2.6131736631314197e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2212:15086:16350	147	148	148	-8.0	-8.0	-2.6423454284667969e0	-2.6423461216753594e0	-2.6423461401586792e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:1:2214:3946:13940	83	148	148	-8.0	-8.0	-2.6453208923339844e0	-2.6453197080774657e0	-2.6453197259236276e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1101:10414:78538	83	148	148	-8.0	-8.0	-2.6451911926269531e0	-2.6451893713493746e0	-2.6451893908687794e0	c271d95dba362ffb	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1103:2583:20293	163	148	148	-8.0	-8.0	-2.6559066772460938e0	-2.6559076013658682e0	-2.6559076199048945e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1104:19714:91101	147	16	16	-4.0	-4.0	-2.5628776550292969e0	-2.5628768662172661e0	-2.5628768677062226e0	c271d95dba362ffb	ecd9cfeb09b64cc9	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1105:19831:29366	83	16	16	-4.0	-4.0	-2.5629005432128906e0	-2.5629000807904276e0	-2.5629000822669354e0	c271d95dba362ffb	ecd9cfeb09b64cc9	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1106:18179:65819	83	135	135	-8.0	-8.0	-9.5904808044433594e0	-9.5904801233335206e0	-9.5904801393382968e0	150250adf6ff10df	150250adf6ff10df	DROP	DROP	false
HISEQ1:9:H8962ADXX:2:1204:18781:24252	163	148	148	-8.0	-8.0	-3.4430541992187500e0	-3.4430533677456197e0	-3.4430533868348903e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1206:11075:50547	99	36	36	-4.0	-4.0	-2.5713615417480469e0	-2.5713596314210463e0	-2.5713596357338133e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1206:11075:50547	147	29	29	-4.0	-4.0	-2.5679779052734375e0	-2.5679758892521818e0	-2.5679758922324822e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1210:4343:74696	147	148	148	-8.0	-8.0	-3.0520553588867188e0	-3.0520567395919898e0	-3.0520567589538814e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:9:H8962ADXX:2:1212:2833:58042	83	66	66	-8.0	-8.0	-9.0613708496093750e0	-9.0613705629201036e0	-9.0613705716306754e0	a849791c2b4203ee	a849791c2b4203ee	DROP	DROP	false
HISEQ1:9:H8962ADXX:2:2101:14564:85219	163	30	30	-4.0	-4.0	-2.5810508728027344e0	-2.5810512989058907e0	-2.5810513024975990e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
