# Frozen Java GATK 4.4.0.0 SeqGraph k-best top-128 (k=25, K=128)
# Window: 20:29455895-29456393 (active 20:29455995-29456293)
# Source dump: parity/giab/runs/local-pairhmm-diff/6r133_java.txt
# Pin: GATK 4.4.0.0 SHA 2dbc025821bc5f686c423ff332a41e6cef892a77
# Unique-set identity with Rust unbounded_diagnostic is the 6R.140/6R.141 oracle.
# 6R.141: Rust completed-path order under unbounded_diagnostic is identical to this rank order.
rank	hash	score	isRef	len
66	d6af512e3dac0c3e	-3.38757063	false	500
67	396b61191a2141b5	-3.39197975	false	499
68	06689ffb514fa9df	-3.39294434	false	499
69	b9a8403b7e5f4558	-3.39330775	false	498
70	3539e0087e9e4dab	-3.39422167	false	500
71	3945ce715630684e	-3.40017964	false	498
72	7d951f9bb52a593c	-3.40029069	false	500
73	eddddb4ac73ba968	-3.40109356	false	500
74	d748d9c997a3bdb9	-3.40109356	false	500
75	596d343d85bdef20	-3.40535250	false	499
76	97fe795dace5105e	-3.40977517	false	500
77	c5cc45be1987d836	-3.41222439	false	499
78	03bb4e1694b72889	-3.42470583	false	500
79	f33e12f804efb2c3	-3.42596469	false	499
80	c6aabe47fdec00e8	-3.42736532	false	499
81	c153e188b07c4dd5	-3.42736532	false	499
82	03f0b32777289242	-3.43157772	false	500
83	aee14d882c63d87b	-3.43157772	false	500
84	a91ddb552d1ae165	-3.43190594	false	499
85	b4223916b7c7814a	-3.43253116	false	500
86	38e64cc1cc854a99	-3.43940306	false	500
87	b69384f8a81dacfc	-3.43940306	false	500
88	7e9dcd579ef958f0	-3.43976647	false	499
89	22251eff96c29d40	-3.44005115	false	499
90	a8af65157ade579d	-3.44274308	false	498
91	2e957bb282324c46	-3.44663836	false	499
92	7e5cb1b2c2a00607	-3.44774471	false	499
93	b15ebbc81b43e2ef	-3.44856577	false	500
94	5574e06b6507978d	-3.45461660	false	499
95	99560fd1f5c1d6aa	-3.46276857	false	499
96	33f14df8d1c9f4b5	-3.46284386	false	499
97	5ceef9dd3d8463f6	-3.46305003	false	499
98	62834ca95fd3b822	-3.46329821	false	499
99	d70707882a635bc6	-3.46784582	false	500
100	4d9caa5b49f8f22f	-3.46971575	false	499
101	f767b9861f86f280	-3.46992192	false	499
102	5c761bc33fb55d8e	-3.46996799	false	499
103	37c8e0f17d226fd3	-3.47676819	false	500
104	775f0730b5879e55	-3.47822887	false	499
105	c504f9e9bd2131dc	-3.48088836	false	498
106	37731069a1f36489	-3.48088836	false	498
107	d3f5e18d940a0f2c	-3.48329948	false	499
108	24fae23cfe4e64e1	-3.48364008	false	500
109	f22e1ea85ddd5bcf	-3.48510076	false	499
110	1b94180692f6bc4a	-3.48513529	false	498
111	68d7d45a707f176e	-3.48605420	false	499
112	6496d35269be4f32	-3.48984321	false	499
113	4b832b3e0dcb40fa	-3.49017137	false	499
114	0c29d92b3a929778	-3.49292610	false	499
115	88d32e877e8d5842	-3.49671510	false	500
116	2deb0e79793774d2	-3.49718004	false	499
117	470fb0d88cab17ac	-3.49775842	false	499
118	71ad6a8a08043d3f	-3.50208881	false	499
119	bfb7f02cef244376	-3.50225979	false	500
120	be9cfa89066c497a	-3.50463031	false	499
121	05ab2f4159cd344b	-3.50629006	false	499
122	896e5fa30fd6c161	-3.51023803	false	500
123	effbd80c32dc7220	-3.51361727	false	500
124	2b363803eec09e9c	-3.51561945	false	498
125	d356eabbf1b7687b	-3.51691848	false	499
126	c13ec4a230758900	-3.51835753	false	500
127	71bb3c9c21ab2c9c	-3.51916040	false	500
