stage	path	fn	line	verdict	note
01_genotype	gatk-haplotypecaller/src/genotyping.rs	emit_genotype_format_fields	1269	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	emit_genotype_phasing_fields	586	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	emit_mode_bp_resolution_emits_reference_sites_per_base	1957	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	emit_mode_gvcf_emits_reference_blocks_for_non_variant_loci	1945	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	emit_mode_vcf_skips_reference_loci	1933	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	expected_diploid_genotype_count	406	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/genotyping.rs	format_field_emission_pl_gq_ad_dp_basic_semantics	1412	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	format_field_emission_rejects_negative_depths	1436	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/genotyping.rs	format_field_emission_synthetic_het_gq_matches_p7	1421	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	from_wire	184	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	genotype_posteriors_combine_likelihoods_and_priors	1397	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	genotype_posteriors_from_log10_likelihoods	1103	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gq_band_upper	410	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gq_phred_from_biallelic_log10	1195	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gq_phred_from_pl	1177	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gq_phred_p7_compatible	1149	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_block_to_record_fields	956	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_blocks_merge_adjacent_positions_with_same_band	1805	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_blocks_split_on_coordinate_gap_even_same_band	1855	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_blocks_split_when_rgq_delta_exceeds_merge_semantics	1875	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_gq_partition	420	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_hc_emit_semantics_absorb_zero_min_rgq_fringe	1784	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_merge_semantics_hc_emit	469	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_record_fields_end_matches_multi_locus_boundary	1916	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	gvcf_record_fields_end_matches_single_locus_boundary	1901	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	het_strong_pl_gap_gq_is_capped_at_99	1429	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	java_combiner_merges_within_start_partition_only	1756	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	joint_compat_accepts_sorted_non_overlapping_records	1996	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	joint_compat_rejects_end_before_pos	2045	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	joint_compat_rejects_overlapping_records	2021	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	low_confidence_locus_has_low_gq_when_likelihoods_nearly_equal	1615	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	multi_sample_annotation_is_invariant_to_sample_order	1643	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	multi_sample_regression_mixed_called_and_nocall_counts_stable	1671	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	multiallelic_genotype_fields_cardinality_and_shape	1450	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	multiallelic_rejects_gl_cardinality_mismatch	1462	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	no_call_annotations_have_zero_an_af_and_ns	1592	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	no_call_phasing_fields_emit_dot_gt_without_phase_tags	1582	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	no_variation_region_bp_resolution_emits_per_base_reference_sites	1987	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	no_variation_region_gvcf_mode_prefers_block_style_emission	1978	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	no_variation_region_vcf_mode_emits_nothing	1969	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	normalize_variant_alleles_left_aligned	512	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	normalize_variant_left_aligns_deletion_in_homopolymer	1485	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	normalize_variant_trims_shared_prefix_suffix	1471	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	phasing_fields_emit_for_diploid_het_with_phase_set	1495	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	phasing_fields_remain_unphased_without_phase_set_or_for_hom	1505	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	pl_as_i32	201	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/genotyping.rs	posterior_selects_expected_genotype_for_low_confidence_case	1628	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	sort_genotyped_calls_deterministic	719	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	summarize_no_variation_region	1029	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	trim_common_allele_context	476	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	validate_joint_compatibility_gvcf_records	1055	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	within_gvcf_partition	432	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	best_alt_haplotype_index	553	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	create_allele_mapper	306	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	create_allele_mapper_with_events	331	tight	parity-sensitive; no safe absolute-speed win without gate risk
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	hap_base_at_ref_locus	77	opt	CIGAR span bulk-advance (same hit/miss)
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	hap_overlapping_events_at	280	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	haplotype_supports_allele_at	141	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	haplotype_supports_allele_at_with_events	193	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	haplotype_supports_allele_at_with_ref	163	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	overlapping_events_at_loc	271	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	ref_byte_at	35	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	replace_span_del_events	41	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	explain_strict_java_emit_gates	67	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	genotype_from_best_index	150	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	passes_emit_for_genotyped_call	97	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	passes_strict_java_emit_for_genotyped_call	30	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	vcf_emit_key	163	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	default	48	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	enable_java_strict	61	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	is_java_compatible	55	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	legacy_read_bridges	110	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	parity_aligned	100	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	strict_java	66	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	strict_java_emit	82	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	strict_java_l4	89	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	with_call_region_mode	121	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	assign_genotype_likelihoods_for_region	26	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	genotype_biallelic_indices	442	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	hap_supports_allele_for_sort	363	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	maybe_post_finalize_strict_java_call	4	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	merge_stored_variation_events_at_position	413	opt	BTreeSet→HashSet event dedupe
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	classify_genotype_reject	1128	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	diagnose_genotype_variation_event	1078	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	event_already_called	642	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	filter_genotyped_calls_for_strict_java_emit	1277	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	finalize_strict_java_genotype_for_emit	312	tight	parity-sensitive; no safe absolute-speed win without gate risk
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	finalize_strict_java_variation_genotype	206	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	finalize_strict_java_variation_genotype_parity	14	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	finish_strict_java_shaped_site_call	168	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	format_locus_genotype_pl_dump	671	n/a	test/dump helper
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	genotype_from_marginalized_rows	497	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	java_emit_af_decision	390	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	java_vcf_shaped_rescue_gl	380	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	java_vcf_shaped_rescue_gl_for_ad_pair	385	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	long_insertion_pileup_shape_ad	430	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	pairhmm_locus_trace_dump	772	n/a	test/dump helper
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	parity_emit_rescue_with_read_and_alt_hap	520	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	post_finalize_strict_java_call	273	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	reshape_genotype_allele_depths_keep_pls	444	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	sparse_snp_genotype_from_read_depths	460	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	stored_events_with_p12_cluster_anchors	582	tight	parity-sensitive; no safe absolute-speed win without gate risk
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	strict_asm8_emit_call_eligible	1193	tight	parity-sensitive; no safe absolute-speed win without gate risk
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize_java.rs	finalize_strict_java_variation_genotype_java	1	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize_l11.rs	drop_clustered_short_indel_fragments	54	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize_l11.rs	finalize_site	11	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_early_template.rs	try_shaped	6	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_map.rs	build_mapping	13	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pileup_rescue.rs	try_empty_mapper	5	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	narrow_strict_java_cluster_anchor_snp_het_subset	199	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	narrow_strict_java_cluster_coupled_indel_subset	147	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	narrow_strict_java_cluster_upstream_hom_alt_subset	290	opt	BTreeSet→HashSet keep_qnames
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	narrow_strict_java_sparse_hom_alt_subset	232	opt	BTreeSet→HashSet keep_qnames
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	read_allele_depths_at_locus_for_genotyping	47	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	read_allele_depths_for_strict_emit	68	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	sparse_softclip_pileup_alt_counts	7	opt	HashSet QNAME dedupe
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	try_genotype_variation_event	339	opt	format-narrow keep_qnames HashSet
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_reshape.rs	apply_class_a_family	11	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_score.rs	as_slice	11	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_score.rs	from_allele_mapping	18	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_score.rs	genotype_from_allele_mapping	62	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	ad_for_java_shaped_genotype	1193	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	alt_hap_indices_for_genotype_marginalization	350	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	apply_java_hmm_l4_format	1145	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	apply_java_marginal_normalize_gap	283	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	apply_sparse_shaped_hom_alt_rescue	2093	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	as_vec	534	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	augment_sparse_alignment_subset_from_pileup_qnames	1722	opt	keep indices HashSet
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	augment_sparse_softclip_likelihood_subset	1755	opt	O(n) QNAME HashSet (was O(n^2))
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	augment_sparse_softclip_subset_from_pileup_qnames	1688	opt	keep indices HashSet
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	biallelic_allele_depths_from_rows	580	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	biallelic_allele_depths_from_rows_min_conf	589	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	biallelic_genotype_log10_likelihoods_gatk	238	tight	parity-sensitive; no safe absolute-speed win without gate risk
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	biallelic_genotype_log10_likelihoods_parity_legacy	219	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	calibrate_cluster_upstream_hom_alt_gl_if_best	1925	tight	short leaf; no safe absolute-speed win
