stage	path	n_fns	status	notes
04_eventmap	gatk-haplotypecaller/src/event_map.rs	62	audited	
04_eventmap	gatk-haplotypecaller/src/event_map_rebuild.rs	1	audited	
04_eventmap	gatk-haplotypecaller/src/pileup_detection.rs	4	audited	
04_eventmap	gatk-haplotypecaller/src/pileup_element.rs	6	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/ad_decode_cache.rs	5	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/apply_read_events.rs	2	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/cluster_materialize.rs	16	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/discover_from_reads.rs	9	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/indel_evidence.rs	5	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/l9_dense_pileup_probe.rs	6	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/long_insertion.rs	2	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/mod.rs	79	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/motif_cluster_discovery.rs	17	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/parity_spine.rs	6	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/supplement_assembly.rs	20	audited	
04_eventmap	gatk-haplotypecaller/src/read_event_discovery/sync_events.rs	5	audited	
05_assembly	gatk-haplotypecaller/src/assembly.rs	68	audited	
05_assembly	gatk-haplotypecaller/src/assembly_based_caller.rs	9	audited	
05_assembly	gatk-haplotypecaller/src/assembly_dangling_recovery.rs	53	audited	
05_assembly	gatk-haplotypecaller/src/assembly_pruning.rs	20	audited	
05_assembly	gatk-haplotypecaller/src/assembly_region_evaluator.rs	4	audited	
05_assembly	gatk-haplotypecaller/src/assembly_region_finalize.rs	15	audited	
05_assembly	gatk-haplotypecaller/src/assembly_region_iterator.rs	46	audited	
05_assembly	gatk-haplotypecaller/src/assembly_region_trimmer.rs	20	audited	
05_assembly	gatk-haplotypecaller/src/assembly_result_set.rs	16	audited	
05_assembly	gatk-haplotypecaller/src/haplotype.rs	18	audited	
05_assembly	gatk-haplotypecaller/src/junction_kbest.rs	28	audited	
05_assembly	gatk-haplotypecaller/src/junction_tree_graph.rs	44	audited	
05_assembly	gatk-haplotypecaller/src/kbest_haplotype.rs	17	audited	
05_assembly	gatk-haplotypecaller/src/read_assembly_filter.rs	8	audited	
05_assembly	gatk-haplotypecaller/src/read_threading_assembler.rs	56	audited	
05_assembly	gatk-haplotypecaller/src/read_threading_graph.rs	41	audited	
05_assembly	gatk-haplotypecaller/src/seq_graph.rs	47	audited	
05_assembly	gatk-haplotypecaller/src/seq_graph_simplify.rs	23	audited	
05_assembly	gatk-haplotypecaller/src/seq_kbest_haplotype.rs	6	audited	
06_walker	gatk-haplotypecaller/src/activity_profile.rs	55	audited	
06_walker	gatk-haplotypecaller/src/activity_scoring.rs	39	audited	
06_walker	gatk-haplotypecaller/src/annotator/engine.rs	2	audited	
06_walker	gatk-haplotypecaller/src/engine.rs	39	audited	
06_walker	gatk-haplotypecaller/src/locus_iterator.rs	25	audited	
06_walker	gatk-haplotypecaller/src/run.rs	24	audited	
06_walker	gatk-haplotypecaller/src/walker.rs	9	audited	
06_walker	gatk-haplotypecaller/src/walker_apply.rs	6	audited	
06_walker	gatk-haplotypecaller/src/walker_traversal.rs	9	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/as_standard.rs	2	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/depth_per_sample_hc.rs	2	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/excess_het.rs	4	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/fisher_strand.rs	9	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/mapping_quality_rank_sum.rs	1	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/qual_by_depth.rs	2	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/rank_sum_baseq.rs	1	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/read_pos_rank_sum.rs	2	audited	
07_emit	gatk-haplotypecaller/src/annotator/plugins/strand_odds_ratio.rs	2	audited	
07_emit	gatk-haplotypecaller/src/ref_confidence.rs	56	audited	
07_emit	gatk-haplotypecaller/src/reference_vcf_emit.rs	41	audited	
07_emit	gatk-haplotypecaller/src/region_vcf_emit.rs	16	audited	
07_emit	gatk-haplotypecaller/src/variant_site_hc_annotations.rs	10	audited	
08_core_cli	gatk-cli/src/main.rs	7	audited	
08_core_cli	gatk-common/src/config.rs	31	audited	
08_core_cli	gatk-common/src/error.rs	71	audited	
08_core_cli	gatk-common/src/lib.rs	1	audited	
08_core_cli	gatk-common/src/logging.rs	19	audited	
08_core_cli	gatk-core/src/io/bam.rs	38	audited	
08_core_cli	gatk-core/src/io/fasta.rs	48	audited	
08_core_cli	gatk-core/src/io/fastq.rs	54	audited	
08_core_cli	gatk-core/src/io/hts_copy.rs	13	audited	
08_core_cli	gatk-core/src/io/sam.rs	44	audited	
08_core_cli	gatk-core/src/io/vcf.rs	46	audited	
08_core_cli	gatk-core/src/lib.rs	1	audited	
08_core_cli	gatk-core/src/memory.rs	5	audited	
08_core_cli	gatk-core/src/reference.rs	55	audited	
08_core_cli	gatk-core/src/tests/mod.rs	22	audited	
08_core_cli	gatk-core/src/types.rs	47	audited	
08_core_cli	gatk-core/src/utils.rs	20	audited	
08_core_cli	gatk-core/src/variant_filtration.rs	33	audited	
09_other	gatk-haplotypecaller/src/active_region.rs	3	audited	
09_other	gatk-haplotypecaller/src/allele_downsample.rs	10	audited	
09_other	gatk-haplotypecaller/src/allele_filter_options.rs	7	audited	
09_other	gatk-haplotypecaller/src/allele_filtering.rs	10	audited	
09_other	gatk-haplotypecaller/src/allele_subsetting.rs	2	audited	
09_other	gatk-haplotypecaller/src/allele_subsetting_pl.rs	13	audited	
09_other	gatk-haplotypecaller/src/bio_ids.rs	55	audited	
09_other	gatk-haplotypecaller/src/compatibility/coupled_indel.rs	17	audited	
09_other	gatk-haplotypecaller/src/compatibility/java_hc_site_semantics.rs	105	audited	
09_other	gatk-haplotypecaller/src/engine_asm_trim_audit_tests.rs	1	audited	
09_other	gatk-haplotypecaller/src/feature_context.rs	13	audited	
09_other	gatk-haplotypecaller/src/fragment_overlap.rs	14	audited	
09_other	gatk-haplotypecaller/src/gatk_well_rng.rs	8	audited	
09_other	gatk-haplotypecaller/src/genome_loc.rs	12	audited	
09_other	gatk-haplotypecaller/src/genotype_limits.rs	8	audited	
09_other	gatk-haplotypecaller/src/given_alleles.rs	5	audited	
09_other	gatk-haplotypecaller/src/hc_joint_is_active.rs	17	audited	
09_other	gatk-haplotypecaller/src/hq_soft_clip.rs	7	audited	
09_other	gatk-haplotypecaller/src/lib.rs	1	audited	
09_other	gatk-haplotypecaller/src/long_homopolymer_collapsing.rs	14	audited	
09_other	gatk-haplotypecaller/src/mann_whitney_u.rs	12	audited	
09_other	gatk-haplotypecaller/src/multiallelic_emit.rs	7	audited	
09_other	gatk-haplotypecaller/src/nearby_kmer_error_corrector.rs	6	audited	
09_other	gatk-haplotypecaller/src/p12_java_format_fixup.rs	5	audited	
09_other	gatk-haplotypecaller/src/parity_region_genotype.rs	6	audited	
09_other	gatk-haplotypecaller/src/read_binding.rs	15	audited	
09_other	gatk-haplotypecaller/src/read_downsample.rs	25	audited	
09_other	gatk-haplotypecaller/src/read_error_correction.rs	10	audited	
09_other	gatk-haplotypecaller/src/read_header_semantics.rs	11	audited	
09_other	gatk-haplotypecaller/src/read_model.rs	31	audited	
09_other	gatk-haplotypecaller/src/read_optional_tags.rs	4	audited	
09_other	gatk-haplotypecaller/src/read_pre_len.rs	5	audited	
09_other	gatk-haplotypecaller/src/read_pre_mate.rs	7	audited	
09_other	gatk-haplotypecaller/src/read_pre_mq.rs	5	audited	
09_other	gatk-haplotypecaller/src/read_transformer.rs	12	audited	
09_other	gatk-haplotypecaller/src/read_validation.rs	3	audited	
09_other	gatk-haplotypecaller/src/reference_context.rs	17	audited	
09_other	gatk-haplotypecaller/src/rt_first_configured.rs	1	audited	
09_other	gatk-haplotypecaller/src/rt_region_cache.rs	7	audited	
09_other	gatk-haplotypecaller/src/runtime_config.rs	20	audited	
09_other	gatk-haplotypecaller/src/shared_bam.rs	19	audited	
09_other	gatk-haplotypecaller/src/worker_threads.rs	1	audited	
